index escape_code
43599, '\uaa4f'length=1 END
43610, '\uaa5a' START
43611, '\uaa5b'length=1 END
43715, '\uaac3' START
43738, '\uaada'length=23 END
43767, '\uaaf7' START
43776, '\uab00'length=9 END
43783, '\uab07' START
43784, '\uab08'length=1 END
43791, '\uab0f' START
43792, '\uab10'length=1 END
43799, '\uab17' START
43807, '\uab1f'length=8 END
43815, '\uab27' START
43815, '\uab27'length=0 END
43823, '\uab2f' START
43823, '\uab2f'length=0 END
43884, '\uab6c' START
43887, '\uab6f'length=3 END
44014, '\uabee' START
44015, '\uabef'length=1 END
44026, '\uabfa' START
44031, '\uabff'length=5 END
55204, '\ud7a4' START
55215, '\ud7af'length=11 END
55239, '\ud7c7' START
55242, '\ud7ca'length=3 END
55292, '\ud7fc' START
63743, '\uf8ff'length=8451 END
64110, '\ufa6e' START
64111, '\ufa6f'length=1 END
64218, '\ufada' START
64255, '\ufaff'length=37 END
64263, '\ufb07' START
64274, '\ufb12'length=11 END
64280, '\ufb18' START
64284, '\ufb1c'length=4 END
64311, '\ufb37' START
64311, '\ufb37'length=0 END
64317, '\ufb3d' START
64317, '\ufb3d'length=0 END
64319, '\ufb3f' START
64319, '\ufb3f'length=0 END
64322, '\ufb42' START
64322, '\ufb42'length=0 END
64325, '\ufb45' START
64325, '\ufb45'length=0 END
64450, '\ufbc2' START
64466, '\ufbd2'length=16 END
64832, '\ufd40' START
64847, '\ufd4f'length=15 END
64912, '\ufd90' START
64913, '\ufd91'length=1 END
64968, '\ufdc8' START
65007, '\ufdef'length=39 END
65022, '\ufdfe' START
65023, '\ufdff'length=1 END
65050, '\ufe1a' START
65055, '\ufe1f'length=5 END
65107, '\ufe53' START
65107, '\ufe53'length=0 END
65127, '\ufe67' START
65127, '\ufe67'length=0 END
65132, '\ufe6c' START
65135, '\ufe6f'length=3 END
65141, '\ufe75' START
65141, '\ufe75'length=0 END
65277, '\ufefd' START
65280, '\uff00'length=3 END
65471, '\uffbf' START
65473, '\uffc1'length=2 END
65480, '\uffc8' START
65481, '\uffc9'length=1 END
65488, '\uffd0' START
65489, '\uffd1'length=1 END
65496, '\uffd8' START
65497, '\uffd9'length=1 END
65501, '\uffdd' START
65503, '\uffdf'length=2 END
65511, '\uffe7' START
65511, '\uffe7'length=0 END
